date_avg,Ta (deg C) ,Tw (deg C),U2,C (tenths),Kd (watt/m^2),P  (Kpa)
1,-4.097560976,6.035714286,11,0.2,141479,87.71804634
2,7.678571429,26.08510638,7,0,96129,87.45554286
3,27.95744681,29.4691358,3,0.7,140690,86.28536596
4,30.55555556,34.67307692,3,0.7,75546,87.18030346
5,35.44230769,36.16666667,0,0.7,76638,87.24094115
6,38.2,33.61290323,0,0.3,63080,86.827198
7,36.70967742,24.39285714,7,0.4,116637,86.20756
8,26.78571429,23.75,6,0.1,149428,87.71191143
9,26.28571429,22.26666667,5,0,153324,88.52697
10,24.3,27.32142857,8,0.2,80740,88.67708267
11,28.96428571,26.85714286,3,0.4,73743,88.484645
12,28.82142857,29.96428571,6,0,134136,88.230695
13,32,26.03076923,6,0.3,82465,87.88363
14,26.86153846,24.94871795,7,0.5,69088,88.70955354
15,25.91025641,25.46478873,6,0.8,51977,88.38371615
16,26.46478873,23.84375,0,0.9,44112,88.04172282
17,24.84375,22.23376623,0,0.9,42562,87.56407625
18,23.20779221,24.39285714,0,0.8,74824,87.53557558
19,25.44642857,34.975,0,0.7,119022,88.11399893
20,36.375,30.78571429,0,0.5,112131,88.1468915
21,34.64285714,26.75,0,0.2,163283,88.50399357
22,29.21428571,26.57142857,0,0,174786,88.54269071
23,29.07142857,28.35714286,0,0,176404,88.34678643
24,32.07142857,25.10714286,3,0,175254,87.71553929
25,28.35714286,22.82142857,3,0,184165,88.04083714
26,24.64285714,19,3,0,159409,88.05293
27,20.35897436,16.60714286,3,0.2,151293,88.6967041
28,18.60714286,15.82142857,3,0,154933,88.67571214
29,17.57142857,21.25,5,0,156823,88.21739286
30,23.78571429,25.03571429,0,0.2,162094,87.70344643
31,29,22.07142857,0,0.2,193333,87.67321429
32,25.42857143,24.14285714,0,0.5,170029,87.66112143
33,27.57142857,29.65625,7,0.6,164742,87.875165
34,33.09375,26.42857143,6,0.3,178418,88.21693938
35,28.89285714,27.71428571,0,0.1,147181,88.53180714
36,30.75,28.39285714,7,0,199464,88.55962071
37,32.25,28.89285714,5,0,211882,88.68538643
38,32.64285714,31.28571429,3,0,203402,88.48343571
