STATION,,DA,E,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,date_avg,Daily Avg Dry Bulb ,Daily Avg Wet Bulb,Daily Average Wind Speed,Daily Cloud Coverage (tenths),HourlyWetBulbTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,,Cloud Cover (tenths),HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,,HourlySkyConditions,,
72683094185,1/1/2022,1/1/22,0:53:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.03,-2,,,,,,1,2,0,,-0.05,1,83,30.19,CLR,0,,310,,11,0,CLR:00,,
72683094185,1/1/2022,1/1/22,1:53:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.06,-7,,,,,,-2,-1,0,,,,75,30.22,CLR,0,,310,,7,0,CLR:00,,
72683094185,1/1/2022,1/1/22,2:53:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.08,-9,,,,,,-6,-5,0,,,,83,30.26,CLR,0,,330,,3,0,CLR:00,,
72683094185,1/1/2022,1/1/22,3:51:00,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,-20,,,,,,-16,-15,,,,,76,,FEW,02 1,,40,,3,2,FEW:02 1,,
72683094185,1/1/2022,1/1/22,3:53:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,-21,,,,,,-17,-16,0,,-0.05,1,78,30.31,FEW,02 1,,0,,0,2,FEW:02 1,,
72683094185,1/1/2022,1/1/22,4:00:00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21,,,,,,-17,-16,,,-0.05,1,78,30.31,1,,,0,,0,,1,,
72683094185,1/1/2022,1/1/22,4:23:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,-18,,,,,,-14,-13,,HZ:7 |FU |HZ,,,78,,SCT,04 1,,110,,7,4,SCT:04 1,,
72683094185,1/1/2022,1/1/22,4:25:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11,-17,,,,,,-13,-12,,HZ:7 |FU |HZ,,,78,,VV,09 1,,110,,6,9,VV:09 1,,=
72683094185,1/1/2022,1/1/22,4:32:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11,-18,,,,,,-14,-13,,FZ:8 FG:2 |FU |HZ s,,,78,,VV,09 1,,130,,5,9,VV:09 1,,
72683094185,1/1/2022,1/1/22,4:53:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.12,-19,,,,,,-15,-15,0,FZ:8 FG:2 |FG |,,,82,30.35,VV,09 1,,50,,8,9,VV:09 1,,
